OrderID;Date;CustomerID;ProdNumber;Quantity
1;01/01/20;1866;EB514;2
2;01/01/20;1567;RS706;3
3;01/01/20;2064;TV804;6
4;01/01/20;287;DK203;1
5;01/01/20;422;EB517;5
6;01/01/20;954;EB519;5
7;02/01/20;726;RK604;2
8;02/01/20;1740;TV810;1
9;02/01/20;1652;TV804;2
10;02/01/20;1431;DS304;2
11;02/01/20;270;RK604;2
12;02/01/20;815;DK201;5
13;02/01/20;157;EB508;3
14;02/01/20;179;BP107;2
15;02/01/20;832;RK605;2
16;03/01/20;1465;DK205;3
17;03/01/20;678;RS702;2
18;03/01/20;1644;DS301;4
19;03/01/20;806;TV804;3
20;04/01/20;997;DK209;2
21;04/01/20;1272;TV804;3
22;04/01/20;832;DK205;4
23;04/01/20;1313;DS302;3
24;04/01/20;638;RS702;5
25;05/01/20;292;EB516;5
26;05/01/20;1865;TV802;2
27;05/01/20;1766;EB519;5
28;05/01/20;281;EB517;4
29;06/01/20;889;EB511;5
30;06/01/20;435;EB518;6
31;06/01/20;811;TV809;1
32;06/01/20;148;DK203;3
33;06/01/20;157;RS706;3
34;06/01/20;841;RK606;4
35;07/01/20;814;EB504;5
36;07/01/20;1930;DS306;5
37;07/01/20;426;RK605;4
38;07/01/20;1336;TV804;2
39;07/01/20;1708;EB501;1
40;07/01/20;43;DS306;4
41;07/01/20;378;EB502;6
42;07/01/20;856;TV802;3
43;07/01/20;1613;BP105;5
44;08/01/20;587;RK602;1
45;08/01/20;794;TV809;4
46;08/01/20;2104;EB509;6
47;08/01/20;1166;RK604;4
48;09/01/20;1083;RS707;6
49;09/01/20;371;EB513;5
50;09/01/20;11;EB504;1
51;09/01/20;1551;EB518;3
52;09/01/20;1542;RS707;5
53;10/01/20;2001;RS705;2
54;10/01/20;647;DS304;2
55;10/01/20;288;TV812;2
56;11/01/20;934;DK208;4
57;12/01/20;1653;EB509;6
58;12/01/20;46;EB514;4
59;12/01/20;1340;BP107;6
60;12/01/20;366;RK606;3
61;13/01/20;1798;EB513;4
62;13/01/20;133;EB508;4
63;13/01/20;1101;EB514;1
64;13/01/20;894;TV809;5
65;14/01/20;628;TV805;5
66;14/01/20;1878;BP110;3
67;14/01/20;1123;EB505;2
68;14/01/20;1214;EB518;4
69;14/01/20;1162;DS307;6
70;14/01/20;1944;BP108;3
71;15/01/20;185;BP110;5
72;15/01/20;1202;EB505;5
73;15/01/20;700;EB514;3
74;16/01/20;1773;DK202;2
75;16/01/20;96;DK205;5
76;17/01/20;1264;EB503;4
77;17/01/20;606;RK605;3
78;17/01/20;1285;EB517;6
79;18/01/20;897;DK209;3
80;18/01/20;522;BP109;2
81;18/01/20;653;EB521;3
82;18/01/20;1845;TV804;2
83;18/01/20;1052;EB504;6
84;19/01/20;1751;DK205;3
85;19/01/20;772;RK603;5
86;19/01/20;1626;DK207;5
87;20/01/20;99;EB518;1
88;20/01/20;209;EB521;3
89;20/01/20;459;EB511;4
90;21/01/20;430;EB504;2
91;21/01/20;1614;EB502;2
92;21/01/20;681;RK602;4
93;21/01/20;1634;RS707;4
94;21/01/20;1792;EB517;2
95;21/01/20;865;RS707;5
96;21/01/20;932;DS307;4
97;21/01/20;719;DS301;3
98;21/01/20;1830;DS303;5
99;21/01/20;1524;EB518;3
100;21/01/20;847;RS704;6
101;21/01/20;1002;RK606;2
102;22/01/20;1326;DS306;3
103;22/01/20;1833;DK202;5
104;22/01/20;1302;DS302;1
105;22/01/20;1103;EB521;3
106;22/01/20;1830;DS305;4
107;23/01/20;2035;TV813;5
108;23/01/20;260;TV803;2
109;23/01/20;1824;EB512;3
110;23/01/20;1737;RS703;5
111;23/01/20;160;DS305;5
112;23/01/20;551;EB504;4
113;23/01/20;1589;BP101;4
114;23/01/20;275;DK206;4
115;23/01/20;1523;TV811;4
116;24/01/20;20;TV808;3
117;24/01/20;908;DS305;2
118;24/01/20;2031;DS301;3
119;24/01/20;1436;BP109;3
120;24/01/20;1599;EB504;4
121;24/01/20;303;RK607;5
122;24/01/20;5;TV804;1
123;25/01/20;1078;DS306;5
124;25/01/20;1646;BP107;5
125;25/01/20;831;TV806;3
126;25/01/20;1111;TV804;4
127;26/01/20;1886;DK208;4
128;26/01/20;2013;DS305;5
129;26/01/20;1848;EB507;3
130;27/01/20;1533;EB509;1
131;27/01/20;1591;RS705;3
132;27/01/20;345;EB503;5
133;27/01/20;256;BP102;1
134;27/01/20;1031;EB509;5
135;27/01/20;216;EB513;4
136;27/01/20;1839;EB520;5
137;28/01/20;1802;TV805;3
138;28/01/20;1306;EB502;4
139;28/01/20;1942;EB509;3
140;29/01/20;1842;BP105;4
141;29/01/20;1344;EB504;4
142;29/01/20;1161;TV802;5
143;30/01/20;1227;EB514;4
144;30/01/20;1157;RS703;5
145;30/01/20;1572;DK206;4
146;30/01/20;1696;BP107;3
147;30/01/20;1741;RS703;3
148;31/01/20;451;TV803;3
149;31/01/20;961;DK208;4
150;31/01/20;568;DS303;2
151;31/01/20;2031;TV801;3
152;31/01/20;1136;EB502;4
153;31/01/20;1983;RK602;2
154;01/02/20;1119;TV802;1
155;01/02/20;685;TV808;5
156;01/02/20;1505;DK209;3
157;01/02/20;535;EB520;4
158;02/02/20;1648;BP106;5
159;02/02/20;645;BP106;5
160;02/02/20;1036;BP110;4
161;02/02/20;1628;BP108;2
162;02/02/20;1996;EB511;5
163;02/02/20;1585;RS703;2
164;03/02/20;868;EB514;3
165;03/02/20;1991;EB501;3
166;03/02/20;604;DK202;2
167;03/02/20;1070;RS707;5
168;04/02/20;1825;RS703;4
169;04/02/20;481;RK603;6
170;04/02/20;2021;EB508;5
171;04/02/20;500;BP109;3
172;04/02/20;1320;TV812;3
173;05/02/20;707;EB512;3
174;05/02/20;1296;DK204;2
175;05/02/20;496;RK605;5
176;05/02/20;1547;DK202;3
177;05/02/20;1508;TV813;2
178;06/02/20;1267;DK208;3
179;06/02/20;204;EB505;3
180;06/02/20;1018;BP104;4
181;06/02/20;770;DK209;3
182;06/02/20;1081;BP110;3
183;07/02/20;661;EB503;4
184;07/02/20;302;EB504;4
185;07/02/20;1589;BP102;4
186;07/02/20;1084;EB505;2
187;07/02/20;840;EB503;1
188;07/02/20;510;DS307;5
189;08/02/20;454;TV811;5
190;08/02/20;1068;EB505;6
191;08/02/20;1634;DK207;4
192;08/02/20;1023;TV811;2
193;08/02/20;958;DS304;3
194;08/02/20;202;RS706;4
195;09/02/20;1634;EB513;3
196;09/02/20;1761;BP105;3
197;09/02/20;934;RS704;4
198;09/02/20;1033;BP105;3
199;09/02/20;1905;EB509;2
200;09/02/20;922;DK202;6
201;09/02/20;456;RK602;3
202;10/02/20;1614;DK207;1
203;10/02/20;312;TV802;2
204;10/02/20;203;EB513;3
205;10/02/20;1289;RK602;3
206;11/02/20;1894;DK207;5
207;11/02/20;1951;EB516;4
208;11/02/20;1290;DS302;3
209;11/02/20;802;EB512;3
210;11/02/20;1399;RS705;2
211;12/02/20;1119;DS301;4
212;12/02/20;2059;BP102;6
213;12/02/20;1584;EB514;5
214;12/02/20;680;DS305;1
215;12/02/20;156;TV808;5
216;12/02/20;1549;RS704;6
217;12/02/20;1797;TV809;5
218;12/02/20;906;DK203;4
219;13/02/20;1233;DS306;2
220;13/02/20;1043;RS704;5
221;13/02/20;1161;TV807;5
222;13/02/20;1002;EB519;5
223;13/02/20;848;RK605;4
224;14/02/20;1905;TV804;4
225;14/02/20;240;DK207;2
226;14/02/20;150;RS703;3
227;15/02/20;2040;BP105;3
228;15/02/20;1414;BP105;6
229;15/02/20;560;DK208;2
230;15/02/20;1170;BP106;2
231;15/02/20;866;EB513;5
232;16/02/20;1198;EB514;2
233;16/02/20;962;DS303;1
234;16/02/20;1114;EB504;4
235;16/02/20;1123;TV813;3
236;16/02/20;1457;RS704;3
237;16/02/20;132;DS302;5
238;16/02/20;1946;DS301;3
239;16/02/20;1879;EB511;3
240;17/02/20;422;EB511;4
241;17/02/20;1861;TV811;3
242;18/02/20;633;EB502;4
243;18/02/20;1932;DK207;6
244;18/02/20;1447;BP102;4
245;18/02/20;973;DK208;4
246;18/02/20;2082;DK201;5
247;18/02/20;735;TV812;3
248;18/02/20;1434;DS301;5
249;19/02/20;724;EB516;2
250;19/02/20;867;RS705;6
251;20/02/20;1909;BP110;5
252;20/02/20;1928;EB506;4
253;20/02/20;126;DK205;5
